date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-30,California,State,Other,27.0,25.0,124.0,33.474739683764
2021-01-31,California,State,Epsilon,154.0,64.71,251.85714285714,63.303411131059
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Total,238.0,100.0,397.85714285714,100.0
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.071813285458
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.143626570916
2021-01-31,California,State,Alpha,2.0,0.84,9.28571428571,2.333931777379
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179533213645
2021-01-31,California,State,Other,82.0,34.45,135.14285714285,33.967684021544
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Total,787.0,100.0,498.28571428571,100.0
2021-02-01,California,State,Other,223.0,28.34,162.42857142857,32.59747706422
2021-02-01,California,State,Alpha,10.0,1.27,10.14285714285,2.035550458716
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.114678899083
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057339449541
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143348623853
2021-02-01,California,State,Epsilon,554.0,70.39,324.14285714285,65.051605504587
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Delta,0.0,0.0,0.42857142857,0.071140621295
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Other,296.0,22.72,173.71428571428,28.835665164809
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118567702158
2021-02-02,California,State,Alpha,33.0,2.53,13.57142857142,2.252786341001
2021-02-02,California,State,Total,1303.0,100.0,602.42857142857,100.0
2021-02-02,California,State,Epsilon,974.0,74.75,413.71428571428,68.674413089874
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047427080863
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.06518904824
2021-02-03,California,State,Total,1087.0,100.0,657.42857142857,100.0
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.043459365493
2021-02-03,California,State,Epsilon,808.0,74.33,463.57142857142,70.512820512821
2021-02-03,California,State,Other,249.0,22.91,176.42857142857,26.83615819209
2021-02-03,California,State,Alpha,29.0,2.67,16.0,2.433724467623
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.108648413733
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023457658926
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.046915317851
2021-02-04,California,State,Epsilon,407.0,76.94,445.85714285714,73.21135350692
2021-02-04,California,State,Alpha,15.0,2.84,14.42857142857,2.36922355149
2021-02-04,California,State,Total,529.0,100.0,609.0,100.0
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023457658926
2021-02-04,California,State,Other,107.0,20.23,148.14285714285,24.325592305888
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Alpha,23.0,8.07,16.28571428571,2.628545077242
2021-02-05,California,State,Epsilon,187.0,65.61,451.85714285714,72.930597186996
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,75.0,26.32,151.28571428571,24.417800322804
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023057412958
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Total,285.0,100.0,619.57142857142,100.0
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021673168617
2021-02-06,California,State,Other,99.0,25.71,161.57142857142,24.512353706112
2021-02-06,California,State,Alpha,15.0,3.9,18.14285714285,2.752492414391
2021-02-06,California,State,Total,385.0,100.0,659.14285714285,100.0
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Epsilon,271.0,70.39,479.28571428571,72.71348071088
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Alpha,4.0,1.83,18.42857142857,2.808010448411
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.021767522856
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,218.0,100.0,656.28571428571,100.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021767522856
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Other,43.0,19.72,156.0,23.770134958642
2021-02-07,California,State,Epsilon,170.0,77.98,481.57142857142,73.378319547236
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Total,496.0,100.0,614.71428571428,100.0
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023239600279
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023239600279
2021-02-08,California,State,Other,110.0,22.18,139.85714285714,22.751568673019
2021-02-08,California,State,Epsilon,368.0,74.19,455.0,74.018126888218
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,18.0,3.63,19.57142857142,3.183825238206
2021-02-09,California,State,Total,644.0,100.0,520.57142857142,100.0
2021-02-09,California,State,Alpha,22.0,3.42,18.0,3.457738748628
2021-02-09,California,State,Other,149.0,23.14,118.85714285714,22.832052689352
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Epsilon,473.0,73.45,383.42857142857,73.655323819978
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027442371021
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027442371021
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,364.0,66.79,320.0,72.211476466796
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.03223726628
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Other,160.0,29.36,106.14285714285,23.952288845906
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Alpha,21.0,3.85,16.85714285714,3.803997421019
2021-02-10,California,State,Total,545.0,100.0,443.14285714285,100.0
2021-02-11,California,State,Other,124.0,24.17,108.57142857142,24.627349319507
2021-02-11,California,State,Beta,0.0,0.0,0.0,0.0
